_id,id,name,category,description,tags,imageIndex,environment,activityType,activityLevel,skillLevel,accessibility,popularity,riskLevel
663b1a3f09fd9f0257f8c8d9,1,아이스링크,겨울 스포츠,얼음 위에서 스케이트를 타는 스포츠,"[""실외"", ""개인""]",1,실외,개인,상,중급,높음,높음,중간
663b1a3f09fd9f0257f8c8da,2,볼더링,등반,낮은 벽을 매달리며 올라가는 스포츠,"[""실내"", ""개인""]",2,실내,개인,중,고급,높음,높음,높음
663b1a3f09fd9f0257f8c8db,3,양궁,정밀 스포츠,활을 쏘아 목표를 맞히는 스포츠,"[""실외"", ""개인""]",3,실외,개인,중,고급,중간,보통,중간
663b1a3f09fd9f0257f8c8dc,4,사격,정밀 스포츠,총을 쏘아 목표를 맞히는 스포츠,"[""실외"", ""개인""]",4,실외,개인,중,고급,중간,보통,중간
663b1a3f09fd9f0257f8c8dd,5,스쿼시,라켓 스포츠,벽에 공을 쳐 상대방이 받아치는 스포츠,"[""실내"", ""개인""]",5,실내,개인,상,고급,높음,보통,높음
663b1a3f09fd9f0257f8c8de,6,플라잉요가,체조,공중에서 요가를 하는 스포츠,"[""실외"", ""개인""]",6,실외,개인,하,중급,중간,보통,낮음
663b1a3f09fd9f0257f8c8df,7,바둑,보드게임,격자판 위에서 돌을 놓고 경쟁하는 게임,"[""실내"", ""개인""]",7,실내,개인,하,고급,낮음,낮음,낮음
663b1a3f09fd9f0257f8c8e0,8,체스,보드게임,격자판 위에서 말을 놓고 경쟁하는 게임,"[""실내"", ""개인""]",8,실내,개인,하,중급,낮음,낮음,낮음
663b1a3f09fd9f0257f8c8e1,9,홀덤,카드게임,카드를 이용한 포커 게임,"[""실내"", ""개인""]",9,실내,개인,하,고급,낮음,높음,낮음
663b1a3f09fd9f0257f8c8e2,10,트릭킹,자전거 스포츠,특별한 기술을 이용하여 자전거를 타는 스포츠,"[""실외"", ""개인""]",10,실외,개인,상,고급,높음,높음,높음
663b1a3f09fd9f0257f8c8e3,11,폴댄스,댄스,높은 기둥을 이용한 댄스 스포츠,"[""실외"", ""개인""]",11,실외,개인,중,고급,높음,보통,높음
663b1a3f09fd9f0257f8c8e4,12,실내서바이벌,생존 스포츠,실내에서 생존을 경험하는 스포츠,"[""실내"", ""팀""]",12,실내,팀,중,고급,낮음,낮음,높음
663b1a3f09fd9f0257f8c8e5,13,스쿠버다이빙,수중 스포츠,수중에서 호흡기를 이용하여 다이빙하는 스포츠,"[""실외"", ""개인""]",13,실외,개인,상,고급,높음,보통,높음
663b1a3f09fd9f0257f8c8e6,14,프리다이빙,수중 스포츠,호흡기 없이 수중에서 다이빙하는 스포츠,"[""실외"", ""개인""]",14,실외,개인,상,고급,높음,보통,높음
663b1a3f09fd9f0257f8c8e7,15,스노클링,수중 스포츠,수중에서 호흡기를 이용하여 산책하는 스포츠,"[""실외"", ""개인""]",15,실외,개인,중,고급,높음,보통,높음
663b1a3f09fd9f0257f8c8e8,16,비치 발리볼,비치 스포츠,모래 위에서 공을 주고받는 스포츠,"[""실외"", ""팀""]",16,실외,팀,상,중급,높음,보통,높음
663b1a3f09fd9f0257f8c8e9,17,서핑,수중 스포츠,파도 위에서 서핑 보드를 타는 스포츠,"[""실외"", ""개인""]",17,실외,개인,상,고급,높음,보통,높음
663b1a3f09fd9f0257f8c8ea,18,게이트볼,팀 스포츠,전술적으로 경기를 치르는 스포츠,"[""실외"", ""팀""]",18,실외,팀,중,중급,중간,보통,중간
663b1a3f09fd9f0257f8c8eb,19,승마,동물 스포츠,말을 타고 경주하는 스포츠,"[""실외"", ""개인""]",19,실외,개인,중,중급,높음,보통,중간
663b1a3f09fd9f0257f8c8ec,20,패러글라이딩,비행 스포츠,산에서 낙하산을 이용하여 비행하는 스포츠,"[""실외"", ""개인""]",20,실외,개인,중,고급,높음,보통,높음
663b1a3f09fd9f0257f8c8ed,21,카누,수상 스포츠,강 이나 바다 에서 카누를 타는 스포츠,"[""실외"", ""개인""]",21,실외,개인,중,중급,중간,보통,중간
663b1a3f09fd9f0257f8c8ee,22,카약,수상 스포츠,강 이나 바다 에서 카약을 타는 스포츠,"[""실외"", ""개인""]",22,실외,개인,중,중급,중간,보통,중간
663b1a3f09fd9f0257f8c8ef,23,산악자전거,자전거 스포츠,산에서 자전거를 타는 스포츠,"[""실외"", ""개인""]",23,실외,개인,상,중급,높음,보통,높음
663b1a3f09fd9f0257f8c8f0,24,스케이트보드,자전거 스포츠,보드를 타며 도로를 따라 내려가는 스포츠,"[""실외"", ""개인""]",24,실외,개인,상,중급,높음,보통,높음
